Directory,Org/Person Name,Org/Person DBA,Org/Person Sort Name,Org Number,Status,Organization/Person Type,Org/Person Main Category,Listing Type,Employer,Org ID,Listing ID,Listing Comments,Listing Internet Comments,Same As Listing Comments,Listing Category,Listing Address 1,Listing Address 2,Listing Address 3,Listing Zip/Postal Code,Listing City,Listing State/Province,Listing Country,Listing Phone 1,Listing Phone 1 Ext,Listing Fax,Listing Fax Ext,Listing Fax Long Distance,Listing Toll,Listing Toll Ext,Listing Url,Listing Email,Listing Facebook,Listing Twitter,Listing Linked In,Mailing Address 1,Mailing Address 2,Mailing Address 3,Mailing Zip/Postal,Mailing City,Mailing State/Province,Mailing Country,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Org/Person NAICS,Sponsor,Total Employees,Total Part Time Employees,Total Full Time Employees,Joined Date,Began Business Date,Org/Person Group Insurance,Org/Person Effective Date,Org/Person Group Term Date,Org/Person Branch,Org/Person Type of Business,Org/Person Board Approval Date,Org/Person New Member Pkg. Mailed,Org/Person Appeared in Briefs,Org/Person Merchant Services,Org/Person Confirmation Date,Org/Person Main reason for joining,Org/Person Main reason for joining,Org/Person Conf. Date,Org/Person Home Insurance,Org/Person Home Effective Date,Org/Person Home Term Date,Org/Person Esso Account #,Org/Person Auto Insurance,Org/Person Auto Effective Date,Org/Person Auto Term Date,Org/Person Welcome Email Sent,Org/Person FIRM #/name,Org/Person Petro Account #,Org/Person Logo Use,Org/Person Reps,Person/Employee Chair Term,Organization Sector,Organization Business Type,Organization Member Type,Organization Dues Category,Organization Designated Reps,Organization Program(s),Person/Employee Status,Person/Employee Level,Person/Employee Designation,Main Contact Prefix,Main Contact First Name,Main Contact Initial,Main Contact Last Name,Main Contact Suffix,Main Contact Title,Main Contact Position,Main Contact Email,Main Contact Salutation,Main Contact Formal Salutation,Special Offer,Special Offer Expires,Special Offer Begin,Special Offer End,Main Listing Contact Prefix,Main Listing Contact First Name,Main Listing Contact Initial,Main Listing Contact Last Name,Main Listing Contact Suffix,Main Listing Contact Title,Main Listing Contact Position,Main Listing Contact Comments,Main Listing Contact Internet Comments,Main Listing Contact Same As Comments,Main Listing Contact Category,Main Listing Contact Address 1,Main Listing Contact Address 2,Main Listing Contact Address 3,Main Listing Contact Zip/Postal Code,Main Listing Contact City,Main Listing Contact State/Province,Main Listing Contact Country,Main Listing Contact Phone 1,Main Listing Contact Phone 1 Ext,Main Listing Contact Fax,Main Listing Contact Fax Ext,Main Listing Contact Fax Long Distance,Main Listing Contact Toll,Main Listing Contact Toll Ext,Main Listing Contact Url,Main Listing Contact Email,Main Listing Contact Facebook,Main Listing Contact Twitter,Main Listing Contact Linked In,Main Listing Contact Org ID,Main Listing Contact Listing ID,OrgCnt,CatCnt
Temporary Directory,CareerStreams,CareerStreams,CareerStreams,4009,Active,Member,Rehabilitation - Vocational,Org,,4490,12695,,,Y,Rehabilitation - Vocational,3100 Temple Drive,Suite 700,,N8W 5J6,Windsor,Ontario,Canada,(519) 254-4246,,(519) 254-7329,,N,,,http://www.careerstreams.com,fdm@careerstreams.com,,,,3100 Temple Drive,Suite 700,,N8W 5J6,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,12/22/2003,1/1/1999,99671 - JL Whiston,,,,Sole Proprietor,,,,,,,,,,,,,,,,,,,,0,,Service sector,,General,A (1-5 employees),One,Group Benefits - Whiston,,,,Mr.,Fabio,,De Menech,,President & CEO,DESIGNATED VOTING REP.,fdm@careerstreams.com,Fabio,,,N,,,Mr.,Fabio,,De Menech,,President & CEO,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,137,
Temporary Directory,Carico of Canada Credit Inc.,Carico of Canada Credit Inc.,Carico of Canada Credit Inc.,1212,Active,Member,Cooking Utensils,Org,,439,10864,,,Y,Cooking Utensils,13266 Tecumseh Road East,,,N8N 3T6,Tecumseh,Ontario,Canada,(519) 735-5727,,(519) 735-4779,,N,,,,carico_of_canada@hotmail.com,,,,13266 Tecumseh Road East,,,N8N 3T6,Tecumseh,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,5/14/1992,1/1/1984,,,,,,,,,,,,,,,,,,,,,,,,,0,,Retail - Trade,Corporation,General,A (1-5 employees),One,Office Supplies,,,,Mr.,Jim,,Flood,,President,DESIGNATED VOTING REP.,carico_of_canada@hotmail.com,Jim,,,N,,,Mr.,Jim,,Flood,,President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,138,
Temporary Directory,Dr. Marco Carroccia,Dr. Marco Carroccia,"Carroccia, Dr. Marco",4345,Returning Member - Active,Member,Dentists,Org,,4859,13015,,,Y,Dentists,1775 Sprucewood Avenue,,,N9J 1X7,LaSalle,Ontario,Canada,(519) 966-3663,,(519) 966-9233,,N,,,,marisac@mcdental.ca,,,,1775 Sprucewood Avenue,,,N9J 1X7,LaSalle,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,2/20/2014,1/1/1998,59020 - John Merwin,May-05,,,Sole Proprietor,February 24 2014,,,,,"Discounts, Insurance",,,,,,,,,,February 25 2014,,,,0,,Professional,Sole Proprietor,General,A (1-5 employees),One,Group Benefits - Merwin,,,,Dr.,Marco,,Carroccia,,Dentist,DESIGNATED VOTING REP.,marisac@mcdental.ca,,,,N,,,Mrs.,Marisa,,Carroccia,,Office Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,139,
Temporary Directory,Casagrande Granite & Marble Ltd.,Casagrande Granite & Marble Ltd.,Casagrande Granite & Marble Ltd.,4674,Returning Member - Active,Member,Granite & Marble,Org,,5205,13340,,,Y,Granite & Marble,4215 Seventh Concession,,,N9A 6J3,Windsor,Ontario,Canada,(519) 974-9321,,(519) 974-9324,,N,,,http://www.casagrandegraniteandmarble.com,info@casagrandegraniteandmarble.com,,,,4215 Seventh Concession,,,N9A 6J3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,5/15/2013,1/1/1988,78659 - John Merwin,9-Jun,,,Corporation,"Jun 22/09, May 21 2013",,July/August 2013,,,,,,,,,,,,,"Jun 25/09, May 22 2013",,,,0,,Manufacturing,Corporation,General,A (1-5 employees),One,Group Benefits - Merwin,,,,Mr,Ken,,Casagrande,,President,DESIGNATED VOTING REP.,gcasagrande@bellnet.ca,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,
Temporary Directory,CB Richard Ellis Limited - N02001,CBRE Limited,CBRE Limited,4801,Active,Member,Real Estate - Commercial,Org,,5679,13463,,,Y,Real Estate - Commercial,3200 Deziel Drive,Suite 110,,N8W 5K8,Windsor,Ontario,Canada,(519) 252-4095,,(519) 252-7554,,N,,,http://www.cbre.ca,brook.handysides@cbre.com,,,,3200 Deziel Drive,Suite 110,,N8W 5K8,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,3/28/2007,,,,,,,,,,,,Marketing/Advertising,Networking,,,,,,,,,,,,,0,,Real Estate,Corporation,General,A (1-5 employees),One,,,,,Mr.,Brook,,Handysides,,"Vice President, Sales Representative",DESIGNATED VOTING REP.,brook.handysides@cbre.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,
Temporary Directory,Centerline (Windsor) Ltd.,Centerline (Windsor) Ltd.,Centerline (Windsor) Ltd.,143,Active,Member,Resistance Welding Machinery,Org,,52,10871,,,Y,Resistance Welding Machinery,415 Morton Drive,,,N9J 3T8,Windsor,Ontario,Canada,(519) 734-8464,,(519) 734-2000,,N,(800) 268-8330,,http://www.cntrline.com,info@cntrline.com,,,,415 Morton Drive,,,N9J 3T8,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,150,500,1/1/1968,1/28/1957,,,,,,,,,,,,,,,,,,,,,,,,,0,,Manufacturing,Corporation,General,G (401-950 employees),10,,,,,Mr.,Donald,J.,Beneteau,,President,DESIGNATED VOTING REP.,info@cntrline.com,Donald,,,N,,,Mr.,Donald,J.,Beneteau,,President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,142,
Temporary Directory,Centoco Plastic Ltd.,Centoco Plastic Ltd.,Centoco Plastic Ltd.,1086,Active Branch,Member,Plastic Products,Org,,387,10872,,,Y,Plastic Products,2466 Central Avenue,,,N8W 4J3,Windsor,Ontario,Canada,(519) 948-2300,,(519) 682-0039,,Y,,,http://www.centoco.com,sales@centoco.com,,,,2466 Central Avenue,,,N8W 4J3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,7/15/1991,7/15/1991,,,,Toldo Corporation Services pays Dues,,,,,,,,,,,,,,,,,,,,,0,,Manufacturing,Corporation,Associate,Branch,,Office Supplies,,,,Mr.,Denis,,DaDalt,,Controller,ASSOCIATE REP (non-voting),ddadalt@toldoco.com,Dennis,,,N,,,Mr.,Denis,,DaDalt,,Controller,ASSOCIATE REP (non-voting),,,,,,,,,,,,,,,,,,,,,,,,,,143,
Temporary Directory,Central Metals Corp.,Central Metals Corp.,Central Metals Corp.,5720,Active,Member,Specialty Metals Distributors,Org,,25424,17944,,,Y,Specialty Metals Distributors,2679 Howard Ave,,,N8X 3X2,Windsor,Ontario,Canada,(519) 915-7542,,(519) 971-0567,,N,(800) 649-6722,,http://www.centralmetalscorp.com,mail@centralmetalscorp.com,,,,2679 Howard Ave,,,N8X 3X2,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423940,,2,1,1,2/15/2013,,,,,,,February 26 2013,,,,,Networking,,,,,,,,,,February 26 2013,,,,0,,Retail - Trade,Corporation,General,A (1-5 employees),One,,,,,Mr.,Bosko,,Kacarevic,,President,DESIGNATED VOTING REP.,mail@centralmetalscorp.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,
Temporary Directory,1710774 Ontario Ltd o/a Central Self Storage,Central Self Storage,Central Self Storage,4284,Active,Member,Storage - Self Service,Org,,4794,12962,,,Y,Storage - Self Service,2500 Central,,,N8W 4J5,Windsor,Ontario,Canada,(519) 251-0655,,(519) 251-9311,,N,,,http://www.centralselfstorage.ca,Sales@centralselfstorage.ca,,,,2500 Central Avenue,,,N8W 4J5,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1/18/2005,8/1/2002,57339 - John Merwin,Dec-04,,,Corporation,,,,,,,,,,,,,,,,,,,,0,,Retail - Trade,Corporation,General,A (1-5 employees),One,Group Benefits - Merwin,,,,Ms.,Lisa,,Regier,,Manager,DESIGNATED VOTING REP.,Sales@centralselfstorage.ca,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,
Temporary Directory,CF Group,CF Greenhouses,CF Greenhouses,5777,Active,Member,Greenhouses,Org,,27550,18155,,,Y,Greenhouses,263 Talbot Street West,,,N8H 4H3,Leamington,Ontario,Canada,(519) 322-2311,,,,N,,,http://www.cfgroups.com,sales@cfgroups.com,,,,263 Talbot Street West,,,N8H 4H3,Leamington,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,40,11/22/2013,1/1/1953,,,,,,November 25 2013,November 27 2013,,,,"Events/Committees, Marketing/Advertising,",,,,,,,,,,November 27 2013,,,,0,,Retail - Trade,Corporation,Associate,C (16-50 employees),,,,,,Mr.,Cole,,Cacciavillani,,Secretary/Treasurer,ASSOCIATE REP (non-voting),cole@cfgroups.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,
Temporary Directory,CGS North America Inc.,CGS North America Inc.,CGS North America Inc.,4481,Returning Member - Active,Member,CAD/CAM Services,Org,,5006,13147,Graphic Products North America is the distributor of Cam-Tool CAD/CAM software.  Cam-Tool is used for high speed machining and hard milling of molds and dies.,Graphic Products North America is the distributor of Cam-Tool CAD/CAM software.  Cam-Tool is used for high speed machining and hard milling of molds and dies.,Y,CAD/CAM Services,2160 Fasan Drive,,,N0R 1L0,Oldcastle,Ontario,Canada,(519) 737-6009,,(519) 737-1647,,N,,,http://www.camtool.net,info@camtool.net,,,,2160 Fasan Drive,,,N0R 1L0,Oldcastle,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2/3/2011,1/1/2001,"85174 - Feb11, 2011 - David Seeley",,,,corporation,December 2005/ Feb 28 2011,"December 20, 2005/ March 8 2011",February 2006/May/June 2011,,,"Marketing/Advertising, Chamber ben. plan",,,,,,,,,,,,,,0,,Service sector,Corporation,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mr.,Randy,,Nash,,Sales and Support,DESIGNATED VOTING REP.,randy@camtool.com,Dear Mr. Nash,,,N,,,Mr.,Randy,,Nash,,Sales and Support,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,147,
Temporary Directory,Cheryl & David Chappus,Chappus Farm,Chappus Farm,4830,Returning Member - Active,Member,Garden Centres,Org,,5720,13488,,,Y,Garden Centres,2221 Front Rd,,,N9J 2C3,LaSalle,Ontario,Canada,(519) 734-7334,,(519) 734-0694,,N,,,,cheryl_chappus@hotmail.com,,,,2221 Front Rd,,,N9J 2C3,LaSalle,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,3/17/2014,1/1/1991,68438 - David Seeley,Jun-07,,,,March 24 2014,,,,,,Marketing/Advertising,,,,,,,,,March 25 2014,,,,0,,Retail - Trade,Sole Proprietor,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mrs.,Cheryl,,Chappus,,Owner,DESIGNATED VOTING REP.,cheryl_chappus@hotmail.com,Cheryl,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,
Temporary Directory,Cheung's Trading Company Limited,Cheung's Trading Company Limited,Cheung's Trading Company Limited,4764,Active,Member,Health Foods,Org,,5535,13429,,,Y,Health Foods,2030 Wyandotte St. W.,,,N9B 1J7,Windsor,Ontario,Canada,(519) 252-9228,,,,N,,,http://www.cheungstrading.com,steven@cheungstrading.com,,,,2030 Wyandotte St. W.,,,N9B 1J7,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,2/6/2007,5/1/1985,,,,,corporation,26-Feb-07,1-Mar-07,Apr-07,20907832,,networking,,,,,,,,,,1-Mar-07,,,,0,,Retail - Trade,Corporation,General,A (1-5 employees),One,"BEA Finalist - Company, TD Merchant Services",,,,Mr.,Steven,,Cheung,,Operations Manager,DESIGNATED VOTING REP.,steven@cheungstrading.com,Steven,,,N,,,Mr.,Steven,,Cheung,,Operations Manager,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,149,
Temporary Directory,Norene E Chevalier,Chevalier Counseling & Consulting,Chevalier Counseling & Consulting,5096,Active,Member,Counsellors,Org,,6011,13658,,,Y,Counsellors,"2109 Ottawa Street, Suite 1070",,,N8Y 1R8,Windsor,Ontario,Canada,(519) 252-6330,,(519) 252-6577,,N,,,http://www.chevaliercounseling.ca,nechev@chevaliercounseling.ca,,,,"2109 Ottawa Street, Suite 1070",,,N8Y 1R8,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3/27/2008,4/23/1995,,,,,Sole Proprietor,,,,,,,,,,,,,,,,,,,,0,,Professional,Sole Proprietor,General,A (1-5 employees),One,,,,,Ms.,Norene,E,Chevalier,,"Owner, Clinical Therapist",DESIGNATED VOTING REP.,nechev@chevaliercounseling.ca,,,,N,,,Ms.,Norene,E,Chevalier,,"Owner, Clinical Therapist",DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,150,
Temporary Directory,Windsor-Essex Children's Aid Society,Windsor-Essex Children's Aid Society,Children's Aid Society,3009,Active,Member,Associations & Organizations,Org,,3194,11704,,,Y,Associations & Organizations,1671 Riverside Drive East,,,N8Y 5B5,Windsor,Ontario,Canada,(519) 252-1171,,(519) 971-0339,,N,,,http://www.wecas.on.ca,info@wecas.on.ca,,,,1671 Riverside Drive East,,,N8Y 5B5,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,50,361,1/28/2000,01/01/1899,,,,,,,N,N,N,N,,,,,,,,,,,,,,,0,,Service sector,Corporation,Organization,Non Profit/Charity,One,,,,,Mr.,William,R.,Bevan,,Chief Executive Officer,DESIGNATED VOTING REP.,wbevan@wecas.on.ca,William,,,N,,,Mr.,William,R.,Bevan,,Chief Executive Officer,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,151,
Temporary Directory,The Children's House Montessori - Lakeshore,The Children's House Montessori - Lakeshore,"Children's House Montessori - Lakeshore, The",5205,Active Branch,Member,Private Schools,Org,,6205,13371,,,Y,Day Care Centres,6555 Malden Rd.,,,N9H 1T5,LaSalle,Ontario,Canada,(519) 734-7776,,(519) 734-1003,,N,,,http://www.tchmontessori.ca,tchmontessori@tchmontessori.ca,,,,444 Advance Blvd,,,N8N 5G8,Tecumseh,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,30,9/20/2013,9/1/2008,,,,Dues split with 4705 & 4706,,Sept 23 2013,,November/December 2013,,,"Marketing/Advertising, Networking",,,,,,,,,,Sept 24 2013,,,,0,,Other,Corporation,General,Branch,One,,,,,Ms.,Rosa,,Dynesen,,Principal,DESIGNATED VOTING REP.,tchlakeshore@brightpathkids.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,
Temporary Directory,Bright Path Corp.,The Children's House Montessori,"Children's House Montessori, The",4706,Active,Member,Private Schools,Org,,5253,13372,,,Y,Day Care Centres,2611 Labelle Street,,,N9E 4G4,Windsor,Ontario,Canada,(519) 969-5278,,(519) 969-5661,,N,,,http://www.tchmontessori.ca,tchwindsor@brightpathkids.com,,,,2611 Labelle Street,,,N9E 4G4,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,13,20,11/10/2006,9/1/2001,,,,Dues split with 4705 & 5205,corporation,27-Nov-06,28-Nov-06,"January, 2007",,,"discounts, events/committees",directory,,,,,,,,,,,,,0,,Service sector,Corporation,General,D (51-100 employees),One,,,,,Ms.,Antoinette,,Drouillard,,Principal/Director,DESIGNATED VOTING REP.,tchwindsor@brightpathkids.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,
Temporary Directory,D.W. Chorney Optometry Professional Corporation,Chorney Vision Centre,Chorney Vision Centre,4480,Active,Member,Optometrists,Org,,5005,13146,,,Y,Optometrists,1695 University Avenue West,,,N9B 1C3,Windsor,Ontario,Canada,(519) 258-0942,,(226) 315-0953,,N,,,http://www.chorneyoptometry.com,info@chorneyoptometry.com,,,,1695 University Avenue West,,,N9B 1C3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,11/29/2005,11/10/2005,61904 - J.L. Whiston Fin.Services Ltd.,Jan-06,,,corporation,Dec-05,20-Dec-05,Feb-06,,,,,,,,,,,,,,,,,0,,Professional,Corporation,General,A (1-5 employees),One,Group Benefits - Whiston,,,,Dr.,David,W.,Chorney,,Optometrist,DESIGNATED VOTING REP.,drdavidchorney@hotmail.com,Dear Dr. Chorney,,,N,,,Dr.,David,W.,Chorney,,Optometrist,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,154,
Temporary Directory,Chrysler Canada Inc.,Chrysler Canada Inc.,Chrysler Canada Inc.,159,Active,Member,Automobile Manufacturers,Org,,59,10880,,,Y,Automobile Manufacturers,One Riverside Drive West,,,N9A 5K3,Windsor,Ontario,Canada,(519) 973-2253,,(519) 973-2226,,N,,,http://www.chryslercanada.ca,amy.digiovanni@feagroup.com,,,,One Riverside Drive West,P.O. Box 1621,,N9A 5K3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,0,5300,12/17/1999,1/1/1925,,,,,,,,,,,,,,# GAIE01,Sep-04,,,# BRR04,Sep-04,,,,,,0,,Manufacturing,Corporation,General,Unique,10,,,,,,Amy,,DiGiovanni,,External Affairs Manager,DESIGNATED VOTING REP.,amy.digiovanni@feagroup.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,
Temporary Directory,Canadian Imperial Bank of Commerce,CIBC,CIBC,120,Active,Member,Banks,Org,,934,14190,,,N,,6800 Tecumseh Road East,,,N8T 1E6,Windsor,Ontario,Canada,(519) 977-7000,,(519) 977-0690,,N,,,http://www.cibc.com,jonathan.roung@cibc.com,,,,6800 Tecumseh Road East,,,N8T 1E6,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,25,12/8/2010,,,,,,,,,,,,,,,LAP C1,Dec. 2004,,,,,,,,,,0,,Finance/Insurance,Corporation,General,C (16-50 employees),2,,,,,Ms.,Kym,,Riley,CFP,Senior Business Advisor,DESIGNATED VOTING REP.,kym.riley@cibc.com,Kym,,,N,,,Ms.,Kym,,Riley,CFP,Senior Business Advisor,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,156,
Temporary Directory,CIBC World Markets o/a CIBC Wood Gundy,CIBC Wood Gundy,CIBC Wood Gundy,4292,Active Branch,Member,Investment Dealers,Org,,4804,12971,,,Y,Investment Dealers,"2510 Ouellette Avenue, Suite 101",,,N8X 1L4,Windsor,Ontario,Canada,(519) 972-0010,,(519) 972-3854,,N,(800) 265-5832,,http://www.cibcwoodgundy.com,ryan.michalczuk@cibc.com,,,,"2510 Ouellette Avenue, Suite 101",,,N8X 1L4,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,1/31/2005,1/1/1905,,,,of 0120 dues are paid by parent co,Corporation,,,,,,,,,,,,,,,,,,,,0,,Finance/Insurance,Corporation,General,Branch,One,,,,,Mr.,Ryan,,Michalczuk,,Investment Advisor,DESIGNATED VOTING REP.,ryan.michalczuk@cibc.om,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,
Temporary Directory,Ciociaro Club & Multiplex,Ciociaro Club & Multiplex,Ciociaro Club & Multiplex,160,Active,Member,"Banquet, Conference & Meeting Facilities",Org,,60,10883,,,Y,"Banquet, Conference & Meeting Facilities",3745 North Talbot Road,R. R. # 1,,N0R 1L0,Oldcastle,Ontario,Canada,(519) 737-6153,,(519) 737-7269,,N,,,http://www.ciociaroclub.com,ciociaro@mnsi.net,,,,3745 North Talbot Road,R. R. # 1,,N0R 1L0,Oldcastle,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,145,20,5/1/1980,1/1/1972,TERMINATED INSURANCE 42710 / 42712,Dec-00,Jul-02,,,,,,,,,,,,,,,,,,,,,,0,,Hospitality,,General,D (51-100 employees),3,,,,,Mr.,Domenic,,Aversa,,General Manager,DESIGNATED VOTING REP.,reception@ciociaroclub.com,Domenic,,,N,,,Mr.,Domenic,,Aversa,,General Manager,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,158,
Temporary Directory,Circle 5 Tool & Mold Inc.,Circle 5 Tool & Mold Inc.,Circle 5 Tool & Mold Inc.,5293,Active,Member,Industrial Mold Manufacturing,Org,,6315,13860,,,Y,Industrial Mold Manufacturing,485 Silver Creek Industrial Drive,,,N8N 4W2,Tecumseh,Ontario,Canada,(519) 727-6400,,(519) 727-6499,,N,,,http://www.circle5tool.com,sales@circle5tool.com,,,,485 Silver Creek Industrial Drive,,,N8N 4W2,Tecumseh,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,44,6/24/2009,2/9/1987,,,,,Corporation,July 16/09,July 20/09,,,,,,,,,,,,,,July 20/09,,9935361825,,0,,Manufacturing,Corporation,General,C (16-50 employees),2,Fuel Discounts - Petro/Suncor,,,,Mr.,Saylo,,Lam,,General Manager,DESIGNATED VOTING REP.,saylo@circle5tool.com,,,,N,,,Mr.,Saylo,,Lam,,General Manager,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,159,
Temporary Directory,2226756 Ontario Inc.,City Centre Janitorial Services,City Centre Janitorial Services,5405,Active,Member,Paper Shredding Service,Org,,20346,14101,,,N,Paper Shredding Service,2534 Dougall Avenue,,,N8X 1T6,Windsor,Ontario,Canada,(519) 972-6111,,(519) 972-6887,,N,,,http://www.priorityshred.ca,admin@citycentergroup.com,,,,2534 Dougall Avenue,,,N8X 1T6,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,2/22/2010,1/1/2010,84294 - David Seeley,,Dec-13,,Corporation,Mar 22/10,Apr 20/10,,,,Marketing/Advertising/Networking/News/Info,,,,,,,,,,Mar 29/10,,,,0,,Service sector,Corporation,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mr.,Adnan,,Kobrosly,,,DESIGNATED VOTING REP.,admin@citycentergroup.com,,,,N,,,Mr.,Adnan,,Kobrosly,,,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,160,
Temporary Directory,2235191 Ontario Ltd.,The City Grill,"City Grill, The",5589,Active-IBB,Member,Restaurants,Org,,22583,17610,,,Y,Restaurants,375 Ouellette Ave.,,,N9A 4J1,Windsor,Ontario,Canada,(519) 915-5948,,,,N,,,http://www.thecitygrillwindsor.com,info@thecitygrillwindsor.com,,,,375 Ouellette Ave.,,,N9A 4J1,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,20,8,6/13/2011,,,,,,,June 27 2011,,,,,"Advocacy. Events/Committees, Marketing",,,,,,,,,,June 29 2011,,,,0,,Hospitality,Corporation,General,C (16-50 employees),2,,,,,Mr.,Matthew,,Komsa,,Owner,,mkomsa@hotmail.com,Matthew,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,
Temporary Directory,Bell Media Inc.,CKLW/89X/93.9FM/CKWW,CKLW/89X/93.9FM/CKWW,4316,Active,Member,Advertising,Org,,4837,12996,,,Y,Advertising,1640 Ouellette Avenue,,,N8X 1L1,Windsor,Ontario,Canada,(519) 258-8888,,(519) 258-3798,,N,,,http://www.am800cklw.com,djones@chumwindsor.com,,,,1640 Ouellette Avenue,,,N8X 1L1,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25,75,2/18/2005,1/1/1993,,,,,Corporation,,,,,,,,,,,,,,,,,,,,0,,Communication,Corporation,General,D (51-100 employees),3,,,,,Mr.,Eric,,Proksch,,Vice President & General Manager,DESIGNATED VOTING REP.,ericp@chumwindsor.com,Eric,,,N,,,Mr.,David,,Jones,,Account Executive,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,162,
